asset_id,asset_type,asset_age_years,substation_region,manufacturer,power_load_mw,load_utilization_pct,voltage_fluctuation_pct,frequency_deviation_hz,transformer_temperature_c,oil_quality_score,equipment_health_score,vibration_level,maintenance_overdue_days,maintenance_events_last_12m,inspection_score,previous_outages_12m,avg_outage_duration_minutes,customer_complaints_last_12m,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,storm_risk_index,customers_served,estimated_revenue_loss,regulatory_penalty_cost,legacy_asset_code,grid_cluster_id,monitoring_batch_id,administrative_reference,grid_failure_flag
100000,Transmission Line,39,Central,ABB,282.83449958103347,81.2601778695765,1.4111610145934794,-0.3699303162508328,66.34091555255219,23.993269279496378,69.50157126518795,0.0045948302875098435,65,3,48.517913584171716,4,38.22052718417322,8,20.88210837225539,47.88897727224455,13.200815868131105,19.456627533853634,66.89639204638883,39815,586776.0705582474,340322.7968826183,139462,36,1711,810874,0
100001,Switchgear,29,Central,Schneider,113.75729101364382,70.55397358698224,7.717055663474726,0.3745698426324338,76.47667044595514,50.62791660936843,78.04243282463914,18.39481254865791,100,5,84.03181315430716,3,92.17188128898094,5,48.10316555807197,65.40458924401938,103.51398674590519,13.164766316244803,39.48736180361379,47370,801405.346049219,279753.2315804324,336586,37,5380,257421,0
100002,Transmission Line,15,North,ABB,77.585841336725,39.118728140592935,11.18134756241714,0.024102790525609884,68.77468480176833,,19.769285166885485,9.397241933741556,104,5,52.10831334750284,2,36.02900216047103,6,49.33174232076604,25.241405299228248,90.23882865496684,32.955459490060164,58.143304446889296,25676,251440.74342443794,355793.3994223829,964465,36,7231,428171,1
100003,Transmission Line,8,South,Schneider,84.91862512892607,96.99454999538801,4.052006600887436,-0.16243607781915145,81.82321652546986,,80.41945468826212,12.999129890059276,163,3,67.72155437475045,2,61.8862828064855,4,27.311047414386817,80.34019246096881,32.50923933015814,38.93327962439123,31.74779639878317,46451,942296.6772815596,27470.270655171324,234440,36,8277,336795,0
100004,Circuit Breaker,21,South,Schneider,101.44296047299144,84.9676888832677,5.130973237550788,-0.1708690191224392,91.87440752922876,22.768758468496753,7.855176483429693,17.527917662865253,141,1,47.52937922757157,0,66.87975534640167,10,49.10983001521866,64.63595540384364,112.5240437439916,43.279001218399884,88.48338876082026,21706,20110.47724125107,464487.46595955914,800776,4,6848,491835,1
100005,Substation,39,Central,ABB,68.13092130766263,98.01210801312958,11.072877283436886,-0.26991465656349123,45.24663815131053,74.4622085593709,75.76686378948254,9.480910299445501,151,3,5.863554148199612,0,72.45227999066573,6,46.95534664746274,22.013615455388305,117.64000427524574,62.389883953410546,94.46594436532342,33470,664948.3768478772,38153.00466643362,339535,48,1513,858842,1
100006,Transformer,19,North,GE,24.296135470253923,66.41144587696802,3.01439938905765,-0.4358438419386818,44.24181535496247,7.8897017420144655,39.58079094180123,6.26483119880902,19,5,31.438121179843225,3,56.665562047622885,6,25.816747905815753,81.6107147078797,99.77343011751152,24.708503852803982,10.976016455927818,50575,852924.6348584888,264223.9188310813,457093,41,9871,753448,1
100007,Transmission Line,23,South,GE,43.8792103652527,46.074989903210266,2.68455951063372,-0.34773140845619593,79.72504529866025,60.43833197474299,36.02830192396964,19.479371685456485,13,5,83.73492082908167,0,91.34390310339938,5,22.352522130953865,58.44012701571298,87.68014003026211,38.358467557236125,92.29099891660967,68208,782344.9352811234,370175.15612806584,719204,19,1167,218995,1
100008,Circuit Breaker,11,Central,Siemens,72.44194370329772,93.92692551051192,3.662961194254243,0.055416879869108544,70.94252364746177,31.001145260623097,43.037042748554995,18.416511335981895,151,5,82.76436625740213,2,27.543272441949938,7,11.439074423794594,74.78208889684126,21.12312205164207,26.922589051710943,48.55584719864857,67435,248250.0463516304,150470.47577596724,576618,34,5505,173664,1
100009,Transmission Line,11,Central,GE,37.559128477360765,46.55973183273048,5.524398461394357,-0.8034113296587925,77.29527833053166,78.5408082337784,7.102685642223417,7.394650342102638,72,5,18.311002824578924,1,80.44292669534795,6,27.295395425931016,54.12198297396023,8.855042821872772,2.737837793235008,39.72698469879754,16988,58411.71215237999,97011.29830771954,104657,18,2063,653817,1
