Feature1,Feature2
-7.430860270599563,-7.899922836633697
-7.912123229492013,-7.341576246351737
-1.5221437285289234,7.5492737482330945
4.378661392355437,3.2917019063253603
-9.325376633364694,-8.089813166376832
5.669070384070524,1.7812434479846195
-2.301380512031332,9.476666983872926
5.135396581358851,1.2967002205759623
-3.0842067084670983,8.791495356201741
-3.9387618196959284,9.802150458558916
-3.2312455577280264,11.237019949609046
5.068297419386158,1.141678169627947
-2.2585613090470438,6.662681979542591
-4.207642513513247,8.50951174087989
-7.660398274097463,-7.464660053793581
-3.351661335705573,8.621091552281
-8.832678116611065,-6.822407657282288
2.209707732238973,2.196914861664045
-2.392704563835102,10.17666011683779
-1.8049691104924257,11.642832879170296
-1.1188829282438653,8.029467346176268
-2.702740477051961,9.499147156375768
5.810022516329402,1.7967008261381656
-7.014420850780266,-7.145273112715814
-3.065298854427705,8.455410423914014
-6.243862177652931,-5.150227248486466
-7.571752787833269,-5.9736401222850395
3.658014016347934,4.4840344147632845
4.625182708811804,0.8964644381577342
-3.5766149386033783,8.035313786239795
-3.697841213209576,8.334728852674996
-3.794268620726085,9.593253026490144
-5.883224211298176,-7.907410184366587
-2.2522851300965057,7.519399593743936
-8.697856465789533,-5.239860472342517
-2.236245701527795,10.582857433337235
-5.971240851176848,-7.986707982289097
4.933838721558569,1.3648378734953763
-7.0080636230967395,-8.122400380179196
5.049986007160693,4.224574690999795
6.160172215252048,1.1239663251981953
-2.200137154185433,8.92495102927892
-7.464754660038262,-7.399179418659491
4.50243102192496,3.458549258308886
-2.5508517466990424,7.611872483054883
-2.0755228964426533,10.859930007957484
-6.793747706487999,-7.453298529394087
4.057442578833177,2.071418651204319
-6.474503996661028,-7.374361952622907
6.5430990156025235,0.48779108534851323
4.730844306060573,1.160575630126198
-6.889194360731211,-5.104176626607916
-6.439709295835052,-8.007965336868773
-0.735724769362931,8.392361866269944
-5.4644705702746785,-6.7990874155838155
5.257936059795359,6.596447472726397
-6.406284620297314,-7.385290970260262
-1.353146267959564,9.509623240522119
4.776099650529599,2.7677264933659877
-3.061964148204495,10.282832799661021
-6.596889721420991,-5.955071360611586
7.199518885815621,-0.36933567548627
5.7193986867480024,2.3419291089926633
-3.184970221004985,-5.536619699554454
-7.178384169326158,-5.71422445213072
3.561781230610072,2.5634726897485387
3.7777457707251783,1.7170331018865153
-6.025689337444602,-8.229680103481389
-8.923686118377455,-6.946766831951889
-3.783962079524076,9.58259704496054
6.206453404813296,1.9983742939000428
-5.609517806931764,-8.990596976983683
-7.719297800742373,-6.6233337003948805
-1.9413124735644964,8.926891433010073
-2.9797274068113393,7.258068190439779
-6.555079000215463,-6.940395324614911
-9.360557711199121,-6.987053640691292
3.728919642363664,2.153642227712181
