cement,water,aggregate,age,strength
249.81604753894499,203.8163570272436,1069.0811976835591,28,9.006162190281621
480.2857225639665,195.8363755259462,1118.672558876549,25,42.83450901333829
392.797576724562,105.12841316128714,900.1871595169996,58,33.9382276111914
339.46339367881467,168.24956552523128,1049.9496398427996,297,32.74987263793099
162.40745617697462,176.0391237571714,1028.6983932574994,134,10.680744699328397
162.39780813448107,179.7645561793801,1133.1321507153084,331,7.650017364823191
123.23344486727979,216.03447384546644,1162.4348241925043,249,-2.8838411709435023
446.47045830997405,206.7205093453757,804.8627085909548,38,40.046435767368784
340.4460046972835,221.58101855868892,1069.6079676235172,75,17.27329861384741
383.2290311184182,252.97665230842566,820.7343196478917,142,29.888600302241347
108.23379771832097,262.59714774321867,1019.5434660309423,322,5.5085161709554065
487.96394086479773,243.62461524529888,915.0530916174713,168,37.66057430406503
432.9770563201687,291.10473919098695,922.7106398088565,259,29.81173099402851
184.93564427131048,103.64651653527233,941.1834013809427,355,11.942608077062332
172.72998688284025,139.15559713670922,1048.516979619844,225,14.878932414970073
173.36180394137352,101.51257499562843,933.6199862675077,152,-1.4490925110521289
221.69689718381508,229.4949428309206,1093.079620236112,19,14.46357427211953
309.9025726528952,279.6061097899974,961.8109542295479,146,19.067333480668218
272.7780074568463,148.69645931525986,827.3412801239834,241,21.138899281323226
216.49165607921677,285.40690895926133,1113.503936993643,344,12.030331533277849
344.74115788895176,112.05347805791217,914.3033298370824,237,24.373659926338924
155.79754426081672,286.8872053611029,973.1067518397051,35,-10.479569282352887
216.85785941408727,170.3245374479269,1074.1775532887607,190,17.41243441878219
246.5447373174767,120.2841656898433,932.9824628594848,1,25.232996308178954
282.4279936868144,197.17435183726514,822.6342624586863,153,11.217071917134497
414.07038455720544,151.3553135441016,949.5684188051255,126,29.836872393533397
179.8695128633439,156.97458039238455,1177.7794330777215,345,17.34984673185235
305.69377536544465,161.4579929852573,1056.6937589194233,226,26.550926687015863
336.965827544817,260.6051795665327,1068.591659466883,221,37.69186605768861
118.58016508799909,207.8322553350509,1052.912861455056,211,8.954691086176858
343.01794076057536,162.26153983120074,879.5968555837748,25,30.61583944396275
168.2096494749166,222.06675666218368,967.333545640912,16,2.058683614408063
126.0206371941118,243.2301348446387,1100.3759193453272,182,4.884585959132657
479.5542149013333,154.52480014670675,840.5491590212637,329,50.99624979517485
486.25281322982374,182.7098203050703,911.1411104358849,129,39.95783648236433
423.35893924658444,124.37721866738951,910.5276433863414,42,35.95096012260331
221.84550766934828,136.22986990693607,972.8075710378024,336,19.439824904622693
139.06884560255355,236.22357079299655,1192.147496376874,236,1.1332126132443525
373.69321060486277,136.28766953912537,827.0010186735287,360,35.49975515414658
276.0609974958405,205.03267673341202,1007.480397752238,34,18.914326604291862
148.81529393791152,241.80925234448654,871.7458728048841,345,13.640998842470108
298.0707640445081,121.37538461894877,1188.2706181638978,45,23.241344960949856
113.75540844608736,213.4624439257807,845.3214018909857,134,5.416061378637232
463.7281608315128,151.31255674027275,961.4404009446365,21,38.21936183617739
203.51199264000678,292.585375047516,1095.1539939338425,122,10.140727720536102
365.0089137415928,196.70912934398496,1081.821771210978,70,26.11514262800054
224.6844304357644,261.1985099550316,969.0914547575729,352,15.795882480550892
308.0272084711243,210.04530843125235,938.6096671810873,361,27.551634570992054
318.68411173731187,108.68250657096384,959.0449514211482,48,21.581005179893953
173.94178221021082,226.63027511880446,905.7105052634557,39,11.964541568433862
487.83385110582344,290.2806684413314,882.1331754827199,287,36.30696475377567
410.05312934444584,220.32236402926623,993.215879023556,10,27.74021125985053
475.7995766256756,263.83777188535805,907.4135024270429,30,31.138028509949553
457.93094017105955,276.8412926696816,914.9846659589,244,35.88203077411308
339.1599915244341,145.6159543897865,1062.7024253898228,274,29.352092988436475
468.74969400924675,142.40896798164533,1187.414932679957,88,42.48855692955084
135.3970008207678,222.19619777019835,1041.45488022375,244,6.820994115159258
178.3931449676581,182.20569396134096,830.7917868259865,329,15.061953025449652
118.09091556421522,267.9722605733441,830.2334455416268,15,12.441899108519607
230.13213230530573,280.0046246796022,1180.5692883382264,4,9.251440783209716
255.4709158757928,170.6842758605436,918.9163161229335,191,15.250010861689233
208.53961270955836,147.3741117948964,836.8267944329901,168,5.066189019519845
431.4950036607717,256.1051030487724,1039.6178348601527,9,24.457661222685626
242.70133067743572,154.96120710962722,1049.4595113161065,109,23.788815966026764
212.3738038749523,264.52286370273566,1059.4019280474754,137,12.980859736223984
317.0784332632994,184.74765072975256,906.9608111430165,154,17.260530557267344
156.36968998990505,233.5099798582941,806.04427368579,209,18.372532211071906
420.8787923016159,119.10706276693364,1186.0061477817887,272,40.48634848012245
129.82025747190832,224.7718649353146,900.357218276441,143,5.475016099826796
494.7547746402069,190.35353574744582,1070.410515221019,99,52.16892657632881
408.89790771866296,217.32169263509482,1082.6519479514839,308,41.80098474425263
179.48627261366897,133.6028415489727,1044.0029668317943,69,15.864172563079064
102.20884684944096,247.37474898883642,925.1629576854593,247,4.468216939633551
426.18457138193367,272.5594155086457,908.4385015056263,261,36.214411843615416
382.74293753904686,143.34796001815513,1039.0673130810812,276,32.66206009443685
391.60286721639494,119.14291110403235,1146.4382534446765,79,35.42710565415886
408.5081386743783,104.72771720926728,1178.6934915693582,146,39.94603047734803
129.61786069363615,228.3943000886532,842.362321761503,111,2.0181580930388963
243.38629141770903,221.41880721775615,861.931445039088,258,11.020591232305332
146.34762381005189,209.339482542814,1177.894503513232,93,3.767136247321147
445.2413703502374,146.3894192231951,1094.614091333917,13,32.39500303433439
349.3192507310232,178.18119918110295,1153.1975299319092,260,28.944727968408326
232.35920994105967,218.8952670372346,881.0530536541372,109,4.478871882211671
125.42334011440946,199.35337177183388,1035.0343484437608,330,7.57985797538699
224.3929286862649,297.55710404297747,1080.4558377669896,189,1.2950651886367943
230.07332881069883,127.28795051134662,1072.044754178789,95,15.57557005553753
391.84247133522564,239.02891080951875,963.2606763466792,105,30.803306965450858
355.0229885420853,180.86375362085843,806.1579566765234,8,30.49484473072825
454.88509703053063,185.63992298512295,1033.1704227217053,67,40.238309598214435
288.8859700647797,243.51955313163523,901.2406156718434,191,20.22128892226561
147.83769837532068,238.48723026487392,980.1016984571561,256,-0.17695825194908466
385.297914889198,298.25119874043764,1183.032406033527,9,28.610273326231713
404.31401944675895,125.67885789082504,959.6141270569739,117,29.83545222760909
324.5108790277985,120.82192987683327,1135.9206426657706,267,34.55287051120982
408.3868719818244,244.86776342574822,875.4162422997005,99,32.72382281430355
297.5182385457563,215.67738340128182,1068.9841992100114,298,28.74246225820923
309.0931317527976,154.83213331196117,1190.8027817755774,164,24.932048929763187
271.0164073434198,115.88387379779732,840.7572403491747,141,18.623626508397013
110.16765069763808,117.1316499192861,803.3279768908768,268,1.3769199530032532
143.15657079732176,278.8381749328237,973.4331170530457,37,-5.1641483397736385
112.5716742746937,138.3734649437486,837.0501932205469,74,-3.1053795627531233
354.56416450551217,164.67431242310414,1099.3537398704925,73,32.66271541407883
225.74239243053069,145.3312804453976,1165.8194655394236,308,23.72475998594519
303.42827646588114,170.99926116638744,973.6083890835035,199,26.55136421455298
463.0265895704372,113.88476854921868,903.4846568621764,130,41.74321596921639
199.71689165954996,203.81195818165406,973.7613276026439,246,22.545888439184857
264.1531692142519,113.52251271844298,1089.3791271400005,312,23.368448870683004
