tenure,monthly_charges,data_usage,support_calls,churn
52,119.40816546455756,6.28621442005707,3,0
15,21.107855259430966,6.3930601842652335,2,0
61,93.01734533106766,1.6591947053993341,3,0
21,77.17893159359805,9.01834435304787,1,0
24,63.40521760809567,1.9051671135157735,3,0
3,32.75701745713709,6.456614356714469,0,0
22,60.908514863487625,0.6448505840280151,4,0
53,55.43771829861353,0.9238325731671844,1,0
2,50.28298889787422,1.8974932032112448,1,0
30,93.08796233222077,4.505456253154343,2,0
38,90.07255212842638,5.18539666314234,5,0
2,78.90200909809116,2.5238547183497513,0,0
64,113.86648132933722,0.40517808156969237,0,0
60,54.985438418085444,2.3391072763427463,4,0
21,44.38019377101796,5.836075544803819,3,0
33,85.59033130983995,5.5584186617772104,0,0
58,39.881406093740296,0.8729361986536855,2,0
22,51.50105071834246,0.039072117499203564,2,0
49,42.460244007488484,6.9914626061056,0,0
59,26.91535677185012,0.5623070392615739,2,0
42,102.74987416356734,0.42969145910824286,2,0
60,45.45405429216612,0.013524358517847949,4,0
15,67.30275033430206,2.833465467549413,1,0
62,24.331527325431196,3.4984819081870615,3,0
62,89.93394662526431,5.075917241072972,3,0
47,53.056100230629085,1.7553380488320436,1,0
62,94.473672782921,6.1966998437612055,3,0
51,61.240306046786614,0.927624554735298,1,0
55,39.57556064056246,8.918660468275398,6,0
64,71.3175082282036,4.24138887211942,1,0
3,33.05045596374398,4.384026030617399,3,0
51,64.05391598729948,1.177190437836098,2,0
7,51.73054774204866,0.38499245540894045,2,0
21,111.19595841996332,3.1248713878627603,2,0
39,26.092872172071996,4.780513473896307,3,0
18,89.4017414105742,0.49935836068849443,1,0
4,38.275116598743594,15.032396535797485,1,0
60,51.90450743322398,19.664793231074576,1,0
14,61.551406306206594,3.9423104511946914,0,0
9,110.80150893749742,14.98558168197675,3,0
53,44.25782660738251,0.9888731396899924,2,0
2,29.130880254467023,0.128746865370541,6,1
60,51.868960399052355,0.20103558095421153,0,0
71,30.467597053553334,4.427746634104327,1,0
44,32.85964859605525,0.3181180772869231,0,0
8,77.38505979750266,15.915807078304669,2,0
