packet_size,duration,failed_logins,unusual_ports,attack
549.6714153011233,0.8203032006079857,0,0,0
486.1735698828815,0.4745058911216644,1,0,0
564.7688538100692,0.7513720312460566,1,0,0
652.3029856408025,0.3940772108962442,0,0,0
476.5846625276664,4.643864248072732,1,0,0
476.58630430508197,1.0122961156997006,0,0,0
657.9212815507392,0.5628150770826598,1,0,0
576.7434729152909,1.1898926964075744,0,0,0
453.05256140650476,0.7729025448481908,1,0,0
554.2560043585964,2.7284337744484155,2,0,0
453.65823071875377,7.096143031740013,1,0,0
453.4270246429743,1.1526266364882531,0,0,0
524.1962271566034,3.947043324590407,2,0,0
308.6719755342202,1.668790591860861,0,1,1
327.5082167486967,0.34213583067013303,0,0,0
443.77124707590275,2.346387694725757,3,0,0
398.71688796655764,1.44076749072495,1,0,0
531.4247332595273,2.1031131026502137,1,0,0
409.1975924478789,4.4088744786067116,1,0,0
358.76962986647084,1.1611896310804546,1,0,0
646.5648768921554,4.6288624284360465,2,0,0
477.4223699513464,2.777948010576462,1,0,0
506.7528204687924,1.3412256966290939,1,0,0
357.52518137865434,1.8487573811116402,0,0,0
445.5617275474817,0.7878077919879488,1,0,0
511.0922589709866,8.22061861526115,1,0,0
384.90064225776973,2.2013357782379877,1,0,0
537.5698018345672,0.08967436525506758,0,0,0
439.9361310081195,0.7908966057052004,1,0,0
470.8306250206723,1.9526889626834352,2,0,0
439.8293387770603,0.11596444737815971,2,0,0
685.2278184508938,0.04834808634571605,2,0,0
498.6502775262066,1.1957621471910915,0,0,0
394.22890710441,0.8090016854010477,0,0,0
582.2544912103189,1.1535698026293217,0,0,0
377.9156350028978,0.6095026804357184,2,0,0
520.8863595004756,0.35997116727309464,2,0,0
304.03298761202245,2.336846855991963,3,0,0
367.1813951101569,1.4454449648985543,1,0,0
519.6861235869123,0.4466726679145959,2,1,1
573.8466579995411,0.7701177562099787,2,0,0
517.1368281189971,1.792034801651397,1,0,0
488.4351717611759,0.14994143855136632,1,0,0
469.8896304410711,0.3190539004963728,1,0,0
352.1478009632573,0.15213338724020223,0,0,0
428.0155791605291,3.3460053645933328,0,0,0
453.93612290402126,2.7919560594142374,3,0,0
605.7122226218916,2.7992693525491847,1,0,0
534.3618289568461,2.519854546228118,1,0,0
323.69598446372663,2.213604008068822,2,1,1
532.4083969394795,1.2963167137375298,0,0,0
461.49177195836836,2.055999175267226,1,0,0
432.30779996940413,0.07823347107726894,0,0,0
561.1676288840868,1.9428904297983667,0,0,0
603.099952249595,3.0090543456526118,2,0,0
593.1280119116199,1.3877283165916914,0,1,1
416.07824767773616,0.8848184141235338,1,0,0
469.07876241487855,0.6498729180338987,0,0,0
533.1263431403564,2.058930339063539,0,0,0
597.5545127122359,2.360520359012599,4,0,1
452.082576215471,4.095383484601133,0,0,0
481.4341023336183,0.8381164013943933,0,0,0
389.36650259939717,2.937372983730464,0,0,0
380.37933759193294,1.648133456055446,3,0,0
581.2525822394198,4.2883696084568825,2,0,0
635.6240028570824,1.5007565939255985,1,1,1
492.7989878419666,1.4580869376200798,0,0,0
600.3532897892024,1.7249174623048544,2,0,0
536.1636025047634,2.767119049532051,0,0,0
435.4880245394876,6.68720525967573,3,1,1
536.1395605508415,0.15281923150416296,0,0,0
653.8036566465969,0.10983043314773575,0,0,0
496.41739608900485,5.546788890529667,0,0,0
656.4643655814007,1.509515985456912,0,0,0
238.02548959102558,1.9085201324053063,0,0,0
582.1902504375224,1.3171962699403499,1,0,0
508.7047068238171,0.19667591353311137,1,1,1
470.09926495341324,2.9228064666979314,1,0,0
509.17607765355024,2.75050821989016,1,0,0
301.24310853991074,0.7470706304728714,3,1,1
478.03281121624883,0.7312562233363529,2,0,0
535.7112571511747,3.6383605851444494,2,0,0
647.7894044741516,0.15021719266517405,3,0,0
448.1729781726353,4.259031552219762,2,0,0
419.1506397106812,0.5932080160224101,1,0,0
449.8242956415463,1.7978092388789573,0,0,0
591.5402117702074,5.497562493322449,0,0,0
532.8751109659685,2.2671684907560365,0,0,0
447.0239796232961,1.070338453796873,0,0,0
551.3267433113356,2.3393631145731675,1,0,0
509.70775493480403,0.8431268966383839,2,0,0
596.8644990532889,0.6494070861006341,0,0,0
429.79469061226473,11.417556627015186,3,0,0
467.23378534022316,2.778920584228008,5,0,1
460.7891846867842,2.069698008670631,2,0,0
353.64850518678816,0.8779082445968491,0,0,0
529.6120277064576,0.10082069313839293,1,0,0
526.1055272179889,0.06309872882548137,0,1,1
500.5113456642461,1.615685623834913,0,0,0
476.54128666248533,2.871244196239446,1,0,0
358.46292579495855,1.541695092575773,0,0,0
457.9354677234641,3.6750004814824924,0,0,0
465.72854834732306,0.06799593973695589,1,1,1
419.7722730778381,0.9137865382088989,0,0,0
483.8714288333991,0.541179015503813,1,0,0
540.4050856814538,1.185782025261945,0,0,0
688.618590121053,0.15025844917328932,0,0,0
517.4577812831839,6.163959516959197,0,0,0
525.7550390722764,0.5052873683072787,2,0,0
492.55540842338326,5.110000194379472,0,0,0
308.1228784700959,1.109879517867179,1,0,0
497.3486124550783,8.47054475714865,0,0,0
506.02302099410264,1.615134480300274,1,0,0
746.3242112485286,5.342458890004249,0,0,0
480.76390352188776,0.010726691508605517,2,0,0
530.1547342333613,2.7585485686875177,3,0,0
496.5288230294757,4.667133267608412,1,0,0
383.1321962380468,0.3009960407856958,1,0,0
614.2822814515021,0.20213028959869234,0,0,0
575.1933032686774,1.1052844448777062,1,0,0
579.1031947043047,5.426494549035046,1,0,0
409.0612545205261,1.5634609382692863,1,1,1
640.2794310936099,1.4992507920430547,0,0,0
359.8148937207719,0.30426637536611634,2,0,0
558.685709380027,0.001579645842481071,0,0,0
719.0455625809979,3.322937596976941,1,1,1
400.9463674869312,0.18329781945159834,2,0,0
443.3702270397228,2.00942339683879,0,0,0
509.96513650876415,4.921203745147795,0,1,1
449.65243458838006,0.4680346975879571,0,0,0
344.93365689338674,2.188879031037551,3,0,0
506.85629748060273,0.1639360359887266,0,0,0
393.7696286273895,1.8514458703371297,1,0,0
547.3592430635182,0.3580899914631611,1,0,0
408.0575765766197,2.663260568332381,2,0,0
654.993440501754,0.7168709706908254,0,0,0
421.67467076637627,1.2449711705387108,1,1,1
467.79384837943246,1.8297361987297638,2,0,0
581.351721736967,0.3757299720908867,1,0,0
376.91356835660446,2.706785749328483,0,0,0
522.7459934604129,0.7209079814903441,0,0,0
630.7142754282428,2.1716203327900625,2,0,0
339.25167654387724,0.34462297196387,0,0,0
518.4633858532304,2.3302585502769007,3,0,0
525.9882794248424,0.27436311632781535,2,0,0
578.182287177731,1.1080108479465136,1,0,0
376.3049289121918,0.567927517881496,1,0,0
367.9543386915724,2.759632772584303,0,0,0
552.1941565616897,0.6077177741754168,3,0,0
529.6984673233186,4.2693556222748335,1,1,1
525.0492850345877,4.447921453504767,0,0,0
534.6448209496975,0.43741012006899027,1,0,0
431.99752784215093,1.9030377658827897,1,0,0
523.2253697161003,0.18361146689561839,2,0,0
529.3072473298681,0.9936386747118611,4,1,1
428.5648581973632,2.498789401475982,0,0,0
686.5774511144757,2.1542295314500333,0,0,0
547.3832920911788,1.9600627130002293,0,0,0
380.86965027973514,0.6640785716197561,0,0,0
565.655360863383,0.949710597356644,1,0,0
402.53183297726787,0.21727875874509914,0,0,0
578.7084603742452,2.5389636489074023,0,0,0
615.8595579007404,1.401910354737368,2,0,0
417.93176816482895,2.467253897664981,1,0,0
596.3376129244322,0.5725488600824336,2,0,0
541.2780926936498,0.7844213607337078,2,0,0
582.2060159994489,0.8135779798866024,1,0,0
689.6792982653948,0.05215908785208389,0,0,0
475.46118839971297,0.8342087835558014,0,0,0
424.62638356425106,3.252197610185984,0,0,0
