satisfaction,performance,workload,years_at_company,attrition
0.3745401188473625,3.690811976835592,62.4128477038911,5,1
0.9507143064099162,4.186725588765489,38.619318105258316,2,0
0.7319939418114051,2.001871595169996,73.61972816774075,12,0
0.5986584841970366,3.4994963984279956,60.65581195346208,13,0
0.15601864044243652,3.2869839325749948,37.86019417784771,1,0
0.15599452033620265,4.331321507153085,78.11690287406034,9,1
0.05808361216819946,4.624348241925042,55.91827316676603,2,0
0.8661761457749352,1.0486270859095472,33.64492259358275,6,0
0.6011150117432088,3.6960796762351706,61.341645220753364,1,0
0.7080725777960455,1.207343196478916,42.65994535064051,1,0
0.020584494295802447,3.1954346603094237,70.18467259386512,9,1
0.9699098521619943,2.150530916174713,70.89110367830953,4,0
0.8324426408004217,2.227106398088565,78.94736779273309,9,0
0.21233911067827616,2.4118340138094263,55.09347655122519,11,0
0.18182496720710062,3.4851697961984405,52.747843986386854,5,0
0.18340450985343382,2.336199862675077,67.67378027232402,7,1
0.3042422429595377,3.9307962023611216,36.623532817096326,1,0
0.5247564316322378,2.6181095422954788,57.34577568965621,6,0
0.43194501864211576,1.2734128012398345,57.31238000654255,8,0
0.2912291401980419,4.135039369936429,34.47365614051936,14,0
0.6118528947223795,2.143033298370824,50.89920427534568,1,0
0.13949386065204183,2.7310675183970505,72.6642399283601,9,1
0.29214464853521815,3.741775532887606,72.80768109973302,3,1
0.3663618432936917,2.329824628594848,34.96188324598405,1,0
0.45606998421703593,1.2263426245868625,34.53604413739154,1,0
0.7851759613930136,2.4956841880512544,43.134773850096764,13,0
0.19967378215835974,4.777794330777214,73.73830312769968,14,1
0.5142344384136116,3.5669375891942328,36.44512925367495,11,0
0.5924145688620425,3.6859165946688277,65.99984013137231,6,0
0.046450412719997725,3.5291286145505594,35.05828098065516,11,0
0.6075448519014384,1.7959685558377472,61.15689268739127,6,0
0.17052412368729153,2.6733354564091205,47.803364955957235,1,0
0.06505159298527952,4.0037591934532735,69.44569814829336,14,1
0.9488855372533332,1.4054915902126366,41.68452244126818,14,0
0.9656320330745594,2.111411104358849,61.960091469497996,3,0
0.8083973481164611,2.1052764338634145,41.78412672879425,7,0
0.3046137691733707,2.728075710378024,65.68301415560768,10,1
0.09767211400638387,4.92147496376874,73.68390172803744,3,1
0.6842330265121569,1.2700101867352878,36.340089956338005,3,0
0.4401524937396013,3.07480397752238,73.32978442977517,3,0
0.12203823484477883,1.7174587280488418,59.6787627207149,12,0
0.4951769101112702,4.8827061816389765,36.3555245433512,7,0
0.034388521115218396,1.4532140189098568,51.3770927679856,4,0
0.9093204020787821,2.614404009446365,38.04301467425489,4,0
0.2587799816000169,3.9515399393384247,65.01739444332847,3,1
0.662522284353982,3.818217712109781,67.94340672089749,10,0
0.31171107608941095,2.690914547575729,35.289826013639946,11,0
0.5200680211778108,2.386096671810873,55.30699263473222,9,0
0.5467102793432796,2.5904495142114823,70.73125280129585,2,0
0.18485445552552704,2.057105052634557,76.80815207754983,4,1
0.9695846277645586,1.8213317548271992,55.675893337088496,8,0
0.7751328233611146,2.93215879023556,77.51396118057036,6,0
0.9394989415641891,2.0741350242704293,56.78444852280149,14,0
0.8948273504276488,2.1498466595890005,49.709524729995394,7,0
0.5978999788110851,3.6270242538982282,72.41015642764478,13,0
0.9218742350231168,4.874149326799569,54.64913552290445,7,0
0.0884925020519195,3.4145488022375003,53.59512552822615,2,0
0.1959828624191452,1.3079178682598651,54.51562447049142,4,0
0.045227288910538066,1.302334455416268,72.33925009348727,10,1
0.32533033076326434,4.805692883382264,71.5970770844026,10,1
0.388677289689482,2.1891631612293345,50.175999622010565,6,0
0.2713490317738959,1.3682679443299017,46.664992993526255,3,0
0.8287375091519293,3.3961783486015262,54.59640120195647,9,0
0.3567533266935893,3.4945951131610644,58.63862548685545,13,0
0.28093450968738076,3.5940192804747526,41.91686053139985,4,0
0.5426960831582485,2.069608111430165,69.69775423577954,10,0
0.14092422497476265,1.0604427368579001,54.32413828662114,13,0
0.8021969807540397,4.860061477817887,46.70227742099798,2,0
0.07455064367977082,2.00357218276441,35.34104964819953,6,0
0.9868869366005173,3.70410515221019,41.94225802018035,1,0
0.7722447692966574,3.8265194795148383,77.46405858779919,6,0
0.1987156815341724,3.4400296683179428,45.25498434097633,13,0
0.005522117123602399,2.251629576854593,38.44296446835177,12,0
0.8154614284548342,2.084385015056263,53.03363958274966,10,0
0.7068573438476171,3.3906731308108125,45.35438716801244,1,0
0.7290071680409873,4.4643825344467665,31.757962513559708,14,0
0.7712703466859457,4.786934915693582,46.15726086397086,8,0
0.07404465173409036,1.4236232176150305,57.20543119697343,5,0
0.3584657285442726,1.6193144503908794,57.585618600998345,6,0
0.11586905952512971,4.778945035132319,47.82794605884443,2,0
0.8631034258755935,3.9461409133391703,52.36513781263003,2,0
0.6232981268275579,4.531975299319092,78.27589591173832,12,0
0.3308980248526492,1.8105305365413726,48.867423861515576,9,0
0.06355835028602363,3.3503434844376074,42.91134066299915,3,0
0.3109823217156622,3.8045583776698946,42.173352203338005,6,0
0.32518332202674705,3.7204475417878906,52.88823063520671,10,0
0.7296061783380641,2.6326067634667925,67.97600743584721,5,0
0.6375574713552131,1.061579566765234,40.29940920942366,14,0
0.8872127425763265,3.3317042272170525,65.46480635703841,12,0
0.4722149251619493,2.012406156718435,31.057491167470815,4,0
0.1195942459383017,2.8010169845715613,50.9466488991973,10,0
0.713244787222995,4.830324060335269,68.79325326013935,2,0
0.7607850486168974,2.596141270569739,46.93664778872157,8,0
0.5612771975694962,4.359206426657707,58.18685507226998,10,0
0.770967179954561,1.7541624229970045,40.24896164129554,7,0
0.49379559636439074,3.6898419921001153,67.09976955630862,11,0
0.5227328293819941,4.908027817755774,32.61395516343798,2,0
0.42754101835854963,1.4075724034917472,72.62713224377501,6,0
0.02541912674409519,1.033279768908768,39.909819321083404,14,0
0.10789142699330445,2.7343311705304574,73.71990158541654,8,1
0.03142918568673425,1.3705019322054688,47.62646206502586,7,0
0.6364104112637804,3.9935373987049254,66.13417872372433,1,0
