impressions,clicks,ctr,time_on_site,pages_viewed,purchase
47,4,0.08333333333333333,185.72356542632102,4,0
55,2,0.03571428571428571,122.91121881733467,8,0
42,9,0.20930232558139536,130.10677094086344,7,0
52,6,0.11320754716981132,167.3656836112045,6,0
58,6,0.1016949152542373,115.50113931311188,9,0
43,4,0.09090909090909091,140.37576425772536,7,0
46,5,0.10638297872340426,85.94519610942524,3,0
49,4,0.08,110.67482555175006,2,0
52,4,0.07547169811320754,154.68343849935923,5,0
45,4,0.08695652173913043,98.4541309863713,11,0
49,4,0.08,116.15846463810966,1,0
43,2,0.045454545454545456,72.77371063193641,5,0
52,5,0.09433962264150944,180.1730488352891,7,0
52,7,0.1320754716981132,157.8908420945071,8,0
46,3,0.06382978723404255,125.64298698458245,3,0
54,2,0.03636363636363636,135.22538616246985,9,0
40,3,0.07317073170731707,131.87694320830104,7,0
45,9,0.1956521739130435,161.52935259092357,3,1
46,7,0.14893617021276595,104.43599872885883,10,0
51,5,0.09615384615384616,141.96802859784697,6,0
64,10,0.15384615384615385,152.3224949655652,4,1
52,5,0.09433962264150944,156.45977911429372,1,0
38,8,0.20512820512820512,52.21887348504907,8,0
33,2,0.058823529411764705,102.02176565204566,5,0
48,3,0.061224489795918366,89.42488136094288,7,0
58,6,0.1016949152542373,124.48764856712057,3,0
45,4,0.08695652173913043,59.51909341457183,5,0
41,5,0.11904761904761904,58.63131327163191,3,0
56,4,0.07017543859649122,185.1028497562878,5,0
54,6,0.10909090909090909,138.53068164790022,6,0
56,4,0.07017543859649122,123.63027729596435,8,0
47,2,0.041666666666666664,130.91017943516945,3,0
59,9,0.15,124.3902277124754,4,0
46,7,0.14893617021276595,149.92051969654577,6,0
46,9,0.19148936170212766,101.02667423808063,4,0
55,7,0.125,125.59844478220708,5,0
60,7,0.11475409836065574,126.82263803813146,11,0
40,4,0.0975609756097561,88.59426124624987,2,0
56,3,0.05263157894736842,158.30949177189157,11,0
56,4,0.07017543859649122,106.62969780295772,7,0
50,4,0.0784313725490196,150.52265009426702,7,0
46,7,0.14893617021276595,123.44738179114441,6,0
61,4,0.06451612903225806,169.00754497227175,5,0
48,8,0.16326530612244897,88.75862734435427,5,0
44,4,0.08888888888888889,87.4572359546865,4,0
45,6,0.13043478260869565,92.82913226987074,5,0
63,3,0.046875,123.99886651543122,3,0
53,4,0.07407407407407407,166.24405187334617,3,0
57,10,0.1724137931034483,167.7928085449575,4,1
60,4,0.06557377049180328,50.7009419868468,5,0
46,3,0.06382978723404255,127.49121483667616,3,0
44,3,0.06666666666666667,23.611391684549318,7,0
48,3,0.061224489795918366,143.85095381355103,3,0
