login_frequency,ip_changes,request_rate,anomaly_score
,2.0,60.80580863057295,3.7868017413726047
13.131026936106249,2.0,124.26150275752704,8.467153163557686
11.703305103272875,1.0,136.64078382670886,8.010215045783127
1.5501643349739345,1.0,30.221447588628312,1.7716927281510295
32.434565106998875,10.0,348.8784323568815,24.196722502806107
7.955788089483033,0.0,39.00961698044234,3.5570249362581796
24.262461996918354,15.0,588.2024496475034,30.924812088500605
13.43311460642405,2.0,116.76045106940825,8.332747914009463
4.1255874867345135,14.0,212.9516388913403,13.226225412760563
1.0248621707982144,0.0,42.70674071370314,1.5886608726505584
6.643805008750448,1.0,56.57033896132513,4.0902516714648876
11.483799675645143,2.0,70.19647738331,6.351034224192842
6.295377076201385,0.0,47.8551359793871,3.3242672022420283
9.87974458788099,2.0,88.77449540160312,6.427158238412391
15.800627888289974,3.0,145.55833402694054,10.306938387295208
7.007065795784048,0.0,58.93465477706482,3.8701593820471594
21.06078216612551,7.0,248.95109722934538,16.586767566718017
1.473919689274532,2.0,32.25440582997421,2.2098080816815857
6.862560238232398,2.0,28.461487709389523,3.712612702751405
5.174094136476342,2.0,74.95654684172376,4.600924646194615
8.896711652040919,1.0,170.54054893816863,8.185229963757333
5.1350564093758475,2.0,70.46650170980477,4.4545119741068975
11.988718985589118,11.0,194.85420984603,13.842241991057636
14.279753508627401,8.0,,14.504086721042107
14.482119500491882,14.0,197.52149416515363,15.870280675102173
4.229835439167367,0.0,76.68386515828942,3.5694665864988924
4.530825733249706,2.0,37.77093595217114,3.2923757985400464
11.799689901133018,3.0,93.6159647925973,
6.951090254244718,2.0,39.69237237001235,
5.483924543132068,0.0,59.51360444396435,3.4305854962585505
5.365003154209008,2.0,126.56049276828422,6.206315729311229
49.070189019105555,14.0,509.41915184709484,35.603631261144514
14.542169696750813,14.0,176.5379599261705,15.258789706810358
23.592996870068433,,124.46947750686829,15.611983386226578
32.955504509791524,10.0,552.9550319460614,30.475302311319297
11.504280271078244,3.0,121.36823519776785,8.292331137256507
4.973005550524132,1.0,59.09194044648628,3.664659878551827
15.426870487060487,1.0,46.22419913764355,6.4147871202474525
33.531576232226655,24.0,472.57666238986917,33.83677274136407
19.33035258021399,5.0,271.32806045913236,15.938947587838166
5.183521553071005,1.0,48.39208287258311,3.406818952098795
11.583881281079421,1.0,107.89335129459268,7.111964923161606
10.330898735900265,3.0,98.94559672417199,
,2.0,40.85939936173379,2.7288703515129553
4.04165152430942,2.0,51.02526876655743,3.543253520289549
7.114244452437831,1.0,38.73857235398491,3.696430506350896
6.179365503499589,7.0,259.2495803420434,12.431297061311177
15.832147679015806,12.0,252.0109438005286,17.1099726177206
2.6075867518386584,0.0,39.86292898667905,1.9781638951519689
12.097277145579968,3.0,164.3475634446739,9.759610047014208
21.243012583327577,10.0,,
9.729764100459379,1.0,96.052943459054,6.200517533909434
,7.0,147.49947995251546,12.466598329450207
6.197853095462994,1.0,88.01035565280094,4.899666598222926
34.7682809432411,,437.7300493044852,27.562385762106885
17.581594832944667,,412.92211819752276,29.26214199580908
4.768703435223519,,66.44494684311633,4.223959435860546
19.761814805109456,15.0,549.6044311489184,28.416677376000386
13.181915736464232,2.0,131.67538728433618,
8.482359840297118,2.0,79.86465528574865,5.740647610661595
21.064075368413427,6.0,264.0473703340851,
16.800845010677577,10.0,162.9745755027875,13.929490768286897
5.751396036691344,2.0,49.53219802749734,4.011384751832323
7.931297537843108,0.0,20.954356850230997,3.0080199668598624
3.9404795924659224,0.0,48.26789885114401,2.630180843274097
15.034916529468687,3.0,171.83242882302778,
2.0429560192651453,0.0,59.526688263529685,2.398687453685434
12.869838307177902,9.0,128.40439306169446,11.313083284004204
19.620761915427675,12.0,178.50744797055324,16.041452013744898
9.259725469221294,14.0,274.51823588059136,16.61346471718413
4.215783693735685,0.0,38.185971344616924,2.410314248459213
4.531726086101639,1.0,49.7642759022133,3.252446102896891
3.796586775541206,,59.10463564352938,2.9121151019682427
8.119426391385536,3.0,101.52642465696866,6.681620657124721
2.6980128451553944,1.0,91.75907069734755,3.9621759744670446
10.657090314761502,13.0,75.25233662153022,
10.005440833584029,3.0,163.31241629057286,9.101004738792394
,,410.9394794604893,31.478719853077884
2.8845781420881993,1.0,20.836556093756005,1.89047012543914
5.903497752350354,12.0,145.41842299109283,10.933602015437891
6.476933159990821,2.0,15.228976277182568,3.1999492363127233
5.342736562379941,0.0,45.97972472235691,2.9822127103846894
1.9560599515781227,,325.06863383249384,13.938877000448251
3.7097604907897512,0.0,56.39038800251003,2.804639787312226
37.42364916259118,14.0,559.3186626639397,33.606654628695544
24.17419084365066,16.0,322.6210800896427,23.330889655784475
17.968710879206057,,79.54591871823357,13.376990825308823
4.381575248297571,2.0,,3.8372206188755342
5.2218451794197325,1.0,57.55395596217226,3.6931722326910874
8.046059712816051,0.0,20.981447067484254,3.043261325869343
4.548447399026928,0.0,37.28963707831035,2.483223332057389
4.928347921780097,2.0,,3.757064706513359
