time_spent,clicks,purchases
23.814136308629266,,1.0
5.108701155877142,10.0,0.0
13.313137412277083,65.0,10.0
0.547118252896623,14.0,8.0
0.925848130055722,17.0,0.0
17.215399739986232,32.0,11.0
22.21520820813961,55.0,0.0
18.171366678656746,62.0,5.0
6.7450831828609585,1.0,0.0
3.587422454272534,10.0,7.0
14.101273319090714,71.0,1.0
21.28824063997796,79.0,0.0
17.708684349372508,51.0,0.0
4.106452976420185,13.0,1.0
,73.0,5.0
,17.0,0.0
20.85600197636837,62.0,2.0
11.8268672131323,54.0,11.0
10.72575544135963,74.0,7.0
6.607626102752517,2.0,1.0
16.835028866522602,61.0,13.0
6.334112206939583,3.0,1.0
5.407645455054935,5.0,0.0
12.489322528171636,78.0,1.0
2.108780055055835,5.0,1.0
14.322671098540393,31.0,8.0
8.824635279679942,17.0,1.0
14.571369774334869,65.0,2.0
16.127094055037016,73.0,8.0
18.692723703404727,73.0,0.0
11.940611101256541,40.0,0.0
13.017044885152048,86.0,0.0
6.861868167948158,8.0,1.0
5.004508823245057,7.0,
4.756069773276766,16.0,3.0
27.258634266694035,44.0,0.0
5.9472547754551295,10.0,0.0
19.65112370774599,94.0,1.0
19.541269518915346,71.0,2.0
15.942741997785822,61.0,5.0
3.661594543637574,11.0,0.0
6.253535578144042,14.0,8.0
12.840467374815875,38.0,13.0
13.602810739289229,,12.0
14.072362872446357,78.0,7.0
15.993790294210692,41.0,8.0
5.024293018146451,12.0,0.0
8.105719551678652,10.0,0.0
16.941372667048174,67.0,0.0
13.716430007755552,76.0,0.0
20.62621443453532,84.0,1.0
20.06019074522419,94.0,1.0
5.9153529088576775,,1.0
11.549136515241393,69.0,0.0
5.177746012263487,17.0,
16.084186816525243,52.0,
4.13339318619488,13.0,
14.653055152835279,35.0,7.0
5.812453370099856,17.0,1.0
13.56247728646413,31.0,10.0
14.736758860138247,99.0,2.0
18.232834873784,64.0,0.0
4.045236538849358,15.0,0.0
5.98537296760081,6.0,1.0
25.58717193061579,91.0,1.0
14.585207096486446,42.0,6.0
10.564434028897718,56.0,14.0
21.85350451697729,74.0,1.0
7.308708676817847,18.0,0.0
1.4159097997295702,1.0,1.0
21.148338414969807,91.0,0.0
17.302304187458727,59.0,11.0
14.441942281497907,89.0,
21.308732996144094,56.0,0.0
17.793840357348596,70.0,7.0
,44.0,9.0
7.542276451961829,1.0,1.0
2.810690751606484,,
4.982365907508385,18.0,0.0
,9.0,0.0
19.693930967442018,62.0,7.0
9.551522595134408,19.0,0.0
,18.0,
5.136261565070958,13.0,7.0
3.31172617296452,5.0,1.0
6.898285975561997,8.0,1.0
3.169526041979227,7.0,
22.355802387869463,91.0,0.0
12.482347430332084,78.0,7.0
20.243138105472937,92.0,2.0
6.442923318356938,11.0,3.0
2.5214109304966845,19.0,9.0
11.547019267733091,57.0,7.0
14.959508325786198,57.0,12.0
13.198083930243586,73.0,11.0
2.590180320508967,7.0,9.0
18.257120076381852,44.0,0.0
3.839454460068163,14.0,4.0
20.055143803648836,68.0,1.0
3.7738106341832443,4.0,0.0
19.737638446522176,,8.0
14.783969635258998,,12.0
2.4111797171665725,11.0,9.0
5.139305329037758,5.0,1.0
19.89295049829418,48.0,2.0
20.06014106883464,,1.0
4.136115596783256,14.0,1.0
14.61282512772638,92.0,2.0
4.320969866101333,9.0,5.0
12.969233999082125,61.0,11.0
,76.0,1.0
3.2291996239949596,19.0,6.0
16.213940191731915,97.0,0.0
4.120964249051445,16.0,1.0
3.6017068438161655,6.0,1.0
13.366851826424451,35.0,14.0
19.43114944139313,84.0,1.0
9.825246502460901,58.0,6.0
7.409845843557148,16.0,1.0
15.202584614063772,71.0,8.0
18.052007567511627,95.0,2.0
6.707949422135712,5.0,0.0
15.972251908184385,53.0,
20.556834553526812,40.0,5.0
4.1111421706296625,16.0,6.0
19.92988966097274,65.0,0.0
11.015441853304708,42.0,13.0
16.112272536842266,85.0,1.0
20.7183909957387,65.0,2.0
6.96700861271693,,0.0
15.514104843569912,68.0,14.0
17.018447535988518,55.0,2.0
22.542262560722396,65.0,2.0
5.523246111944933,6.0,0.0
4.1841692944574085,8.0,1.0
22.332204972701106,,2.0
22.634382316029615,69.0,2.0
6.227682682950849,10.0,1.0
4.4579190754229145,9.0,1.0
14.12491875062017,49.0,8.0
13.689020888282776,51.0,2.0
,72.0,8.0
17.106148858696596,92.0,0.0
13.609746921562614,68.0,10.0
19.614109699397908,66.0,7.0
17.691593162343583,81.0,1.0
15.138785162960128,55.0,0.0
17.926635381367078,68.0,12.0
,1.0,1.0
3.204613572441339,17.0,6.0
4.903609028928374,3.0,0.0
17.467634736309567,68.0,6.0
,44.0,1.0
2.447136516370939,10.0,3.0
13.428118808677507,79.0,2.0
14.464570255195468,93.0,1.0
19.89533168364715,43.0,2.0
1.929847812677663,18.0,3.0
16.084908075142902,31.0,10.0
16.030854868705383,71.0,6.0
6.947087699374584,19.0,6.0
3.9166784516550717,6.0,6.0
4.5215504042604895,18.0,1.0
8.140064561085344,13.0,1.0
5.432713480751858,15.0,4.0
20.745040761498053,88.0,0.0
13.591576842195144,66.0,12.0
11.961506638996728,42.0,10.0
14.892521882670145,61.0,13.0
20.502669391060024,94.0,1.0
11.680995077981915,78.0,5.0
17.437577467182592,78.0,8.0
14.717270726593158,86.0,1.0
0.8199645027394409,19.0,1.0
7.130454165093836,9.0,1.0
15.725886814698102,44.0,9.0
33.41092596261888,42.0,1.0
2.606679061572956,13.0,0.0
17.052725573039965,,0.0
1.4246567761364362,3.0,1.0
14.297539875829992,78.0,10.0
16.627680130757895,,5.0
8.540863033133437,5.0,1.0
0.8988368499401851,18.0,
3.9536238128257803,4.0,1.0
16.94306561430208,61.0,9.0
25.463098044579027,78.0,0.0
28.880676666358475,97.0,2.0
16.058545808683586,53.0,2.0
14.248699840339508,44.0,0.0
15.626590785014265,30.0,5.0
9.120989628360674,56.0,13.0
11.411380127757987,66.0,12.0
10.530939229633008,86.0,0.0
14.985055342570043,52.0,1.0
16.4901424590337,71.0,7.0
13.618083687120638,66.0,8.0
18.32749655754529,67.0,0.0
4.576098173408961,17.0,3.0
10.763088895994127,51.0,10.0
12.275927773436367,36.0,13.0
18.010598693676073,31.0,8.0
4.549897369145272,11.0,4.0
7.323874635493549,12.0,0.0
3.1362726390329803,11.0,3.0
21.81600705397281,55.0,0.0
14.096688913232134,37.0,11.0
6.541356659046222,14.0,0.0
,12.0,7.0
15.332767769129598,57.0,7.0
21.03587688197307,61.0,0.0
4.313597526737664,6.0,1.0
3.8663199407308175,15.0,5.0
4.990874342019407,2.0,0.0
6.118218405229055,1.0,1.0
2.9504117380111214,11.0,4.0
4.381814981606157,15.0,
4.052895327957593,13.0,4.0
18.856374976520815,40.0,2.0
18.61490042378211,87.0,1.0
20.60556500522319,90.0,2.0
13.234786011189406,45.0,0.0
4.9212500500651375,11.0,8.0
3.831507925463755,16.0,5.0
3.9509578778588605,14.0,6.0
8.71993401297386,9.0,0.0
19.06872008571247,46.0,5.0
14.297589129152458,61.0,11.0
2.04329574924272,12.0,3.0
2.203183161116727,7.0,8.0
11.337469050086934,62.0,12.0
3.905981354090242,18.0,8.0
15.59058370760737,70.0,6.0
13.19488016331181,59.0,13.0
20.28356204277267,51.0,1.0
14.908699141849713,,
18.092998567487854,53.0,13.0
2.558859791436291,16.0,0.0
,58.0,0.0
3.6685456007001656,14.0,7.0
14.443023070008548,32.0,12.0
,11.0,0.0
7.140764687730767,30.0,13.0
19.364607899266577,69.0,0.0
19.569089569224076,68.0,14.0
21.42559517729389,97.0,1.0
3.204248278584209,5.0,3.0
13.064640736184627,57.0,12.0
6.541726202928079,16.0,1.0
19.39694630676466,57.0,7.0
13.3359008274094,12.0,7.0
15.113401074161901,3.0,3.0
1.705466698156175,109.0,15.0
10.492364076376365,18.0,9.0
15.548529125468118,40.0,11.0
15.345365566140744,21.0,13.0
20.030946270535157,15.0,13.0
16.720224131970603,97.0,1.0
24.811199592176138,99.0,4.0
7.81250868660748,26.0,4.0
