cost_variance,delay_days,manpower,project_risk_score
5.751396036691344,,21.0,3.658428697398323
13.198595632293214,6.924331611143347,48.0,9.009170897374624
8.046059712816051,1.7097604907897515,20.0,
18.203266477185224,19.21857898875923,68.0,16.328738186377784
3.8754249415180544,3.714225143023493,,4.01586003381662
11.34842344787911,26.280410685584606,61.0,16.271533653385486
21.093415461380705,30.610330674710603,98.0,
1.473919689274532,,39.0,2.810805749576703
12.93154000243922,9.90278929550226,64.0,10.413731719176592
3.1839518489575784,1.3830127942136248,26.0,2.346785857268481
14.150914839144953,6.8069955047007085,62.0,9.623164137538266
6.295377076201385,3.723272050095268,28.0,4.567459650518661
,1.0189273497386233,49.0,3.004231549619217
16.312852667616088,41.105784632233004,69.0,24.34745491993964
7.110953121801621,19.36002840236152,34.0,11.268392609665257
,17.76429887919663,68.0,12.561958006727629
25.185792324723124,13.519450938442588,65.0,16.782097305266287
10.437585557284928,11.588835162185593,64.0,10.090568287788209
16.17200269035664,48.15040288569902,59.0,26.90896223042227
45.23124077269657,47.51375781436571,86.0,38.81799943482491
28.096613219163917,51.27080685057683,42.0,32.586968027896305
8.461104047093134,10.29254451153422,36.0,8.221459423450943
,3.8971494785907277,49.0,4.392663985459696
12.130327721091861,21.739984642251613,42.0,14.388124945337392
18.459110233626063,25.495727292994044,95.0,19.48193501064804
5.662526862807128,4.173714187600541,22.0,4.374496420163068
16.813822339620614,12.197088717647443,86.0,13.324364422907225
7.114244452437831,7.926484224970572,20.0,6.416291470963362
4.548447399026928,3.657502219319369,45.0,4.182379847338519
4.381575248297571,0.19629787441543822,49.0,2.811149249085204
11.273458732169352,18.306508653040773,48.0,12.791986954084052
18.662996810583103,24.084339393501626,65.0,18.39893448163389
8.995548257815798,7.960423236143521,32.0,7.422388597583728
12.203503194640136,12.210370084333658,41.0,10.585549311589519
12.331149384710823,17.715338259295418,,12.778595057602496
4.3977926088214225,2.8511081684676656,39.0,3.679560310915636
22.436492547156966,31.114091136416963,21.0,21.840233473429574
2.1505036275730864,4.026534866226712,44.0,3.35081539751992
21.387157986717362,51.33086838738634,109.0,31.267210549641483
26.794083166663643,29.944092872498288,85.0,24.395270415664772
2.8845781420881993,2.5308257332497064,24.0,2.646161550135162
19.480794412850006,34.370725203151785,84.0,23.220607846400718
5.628494665190548,,22.0,3.476781691457301
8.158425631014783,2.9283479217800967,37.0,5.174709421117952
6.18738457937188,7.384059532064451,62.0,6.668577644574533
13.136713505038951,16.616319035756185,39.0,
16.996976593752073,27.031135479465064,86.0,19.331244829286852
14.312068985000582,7.677351256775161,35.0,9.495768096710297
3.9112345509496347,3.194155098696081,39.0,3.622155859858286
18.451284482586974,18.977437971178237,67.0,16.311488981506084
12.30993207979238,1.65433820454734,43.0,6.445708113735889
,8.987712370842244,56.0,10.830609915100771
10.021919118221897,,60.0,7.964293317476201
38.816397569494505,39.246428358262946,73.0,32.68513037110298
16.008823909842334,42.185993740136865,75.0,24.777927059991683
14.668392608800158,29.137127999520743,,18.482208243328362
7.397076730061876,8.410765467447083,34.0,7.003136879003584
12.964607831512335,14.760055469233473,68.0,
13.975316984542603,10.075716391299322,48.0,10.580413350336773
16.717355242655913,11.983966742580002,99.0,13.460528794094365
13.628145912059903,18.25675493239745,,13.793960337782941
17.982225215765446,37.12156433225102,,23.761515819206586
7.061999044991902,4.582063894086094,25.0,5.157625175631199
21.24381746615243,14.958920783179423,15.0,14.781095299732742
16.768502503496254,31.457327887232474,54.0,20.37033215629149
5.89038682985111,1.9388634641273832,41.0,3.9517001175913973
3.3215649535547227,5.805588621872198,39.0,4.4308614301707685
6.2233525776817356,4.503866065373549,23.0,4.750887457222114
10.692861168835398,,31.0,9.018937681768481
7.931297537843108,4.830804235404148,35.0,5.804840709298903
26.162571058681255,15.91945956429562,53.0,17.89281224919075
24.037778158027145,25.76048039896385,86.0,21.639303422796395
12.221022453843215,0.02519214221175403,47.0,5.838485838421988
35.38910043684659,25.336671328021737,116.0,26.610308705947332
6.476933159990821,,35.0,
19.18451996385605,27.535748253834434,99.0,20.668107287076197
8.188286882546414,12.19663570051717,46.0,9.073969033225435
5.64816793878959,2.9305764605895135,30.0,4.031497759751641
30.773683076476182,31.34843004147501,20.0,25.248845247180476
6.542303885019955,12.90657067017862,55.0,8.879549822079431
9.881091573881143,6.449360210362581,42.0,7.37218071369749
5.4177271900095105,2.314570966946461,28.0,3.6529192627823885
16.104598853760624,25.508425691361555,,18.325209818048872
14.146013812515829,13.434242563829855,30.0,11.632102550538274
7.122975710719663,20.55658820808126,37.0,11.811825567520371
16.921070776161443,45.32142525959219,41.0,
16.644880444246525,3.5414324015005825,97.0,10.014525138298843
7.684657751520224,14.726908450437836,54.0,10.044626480783224
12.536993177921534,34.68628484627345,91.0,20.709311209677995
5.497694820378478,6.851495713674436,48.0,5.899676213621166
44.79944138890026,26.386545069376034,46.0,29.394394583310522
4.068540492859486,2.401985299068265,44.0,3.468210316771101
3.5603115832105825,2.946972249101566,41.0,3.4229135329248597
9.896411031715575,8.813040193966655,60.0,8.683780490272891
12.715365879869678,10.35486207819873,51.0,10.248091183227363
16.49150011496085,30.937421758412118,96.0,20.89156874934919
13.246390235292468,19.712760145002957,82.0,14.82366015211817
4.531726086101639,6.076073132931938,26.0,4.763119687613431
10.495068394328015,14.383773249761628,68.0,11.311536657635857
39.26177547531641,30.0606436158123,19.0,28.108967636451485
27.18091734038883,7.358731006999179,84.0,15.495859338955205
,1.996485912830927,47.0,2.6087514040641375
32.03463635867223,32.69311924352956,29.0,26.471102240880715
10.154082578438906,0.5131150875567112,66.0,
4.768703435223519,3.5151007814455286,22.0,3.7535216866676193
5.2218451794197325,4.937289981065779,47.0,5.0036540641942056
7.573189325828917,13.23581348393522,34.0,9.003601123905653
2.5583127000579555,2.158709354469282,42.0,2.726808821810895
15.777462904023258,27.040138454802758,56.0,18.247040543530407
2.6980128451553944,1.5958938122452953,36.0,2.4375626629602762
4.72347139765763,,39.0,4.672214877376671
2.0429560192651453,-0.837542430598083,43.0,1.3421654354668249
24.064282321190497,31.161066540197496,85.0,23.7901395445552
6.349435322922282,16.81717745475852,65.0,10.566645111072322
10.528542766156963,11.810069559712353,39.0,9.715444930347726
10.07179544339751,11.0379913064286,33.0,9.103914699930446
,37.7546324865362,53.0,24.94021214690356
6.534869458305818,6.129287311628012,27.0,5.605662707973532
3.79872262016239,,20.0,2.8058025255592303
